NEUT0|"""Hey, what's up?"
BULL1|Throw pulled some five of them just want to say congratulations to you taking step #1 towards their financial security and independence.
BULL2|I've learned so much over my 12 months using easy equities as a platform.
NEUT3|I started out buying a bunch of brands that I use all the time in my personal life.
NEUT4|Now I'm watching some of my favourites grow like Capitec and Richemont and it's been a fascinating journey learning about your money and how your money can make money.
NEUT5|Just a quick suggestion if you haven't freaking yet.
NEUT6|It's really easy to do.
NEUT7|You do it on their website.
NEUT8|You can even screenshot.
NEUT9|A utility bill that you got an email or in PDF on your phone.
NEUT10|Send it into them, get the documents there.
NEUT11|It links really easy to bank accounts if you want to get money in.
NEUT12|If you want to take money out again, that's nice and simple as well.
NEUT13|"Sooner you do it sooner, you can watch your money, make you more money which is the greatest's get your documents in and come and play with us."""
