NEUT0|"""Also guys should go back in the video today."
NEUT1|I will be talking about TX.
NEUT2|I mean TRXY stock today I'll be giving you guys some analysts and some predictions on this stock in the stock market and also some key levels to look for.
NEUT3|As you guys know it did have this pop up today.
BULL4|Very good.
NEUT5|Let me see how much percentage that was.
NEUT6|Smells about 14%.
NEUT7|And this was February 5th.
NEUT8|OK, so 14% move.
BULL9|That's a good move.
NEUT10|And now I'm looking for it to go.
BULL11|To this level, OK, if it goes above this level at $4.10, I think that would be very bullish and I will be getting in at this level.
NEUT12|OK, I think I think it probably won't be so much pressure, but I do want to wait to see how it acts at this level.
NEUT13|Then I'll start getting some shares.
NEUT14|OK, right now I'm not going to share it 'cause it's just been trading sideways, came up, came back down, up, down so it's just raining sideways.
NEUT15|I want to play on the breakouts like something like this or something like that.
NEUT16|So that's why I'm really waiting for this was a level I wanted to buy off of, but it didn't get there.
NEUT17|This was 229 and the low was like 252 so it didn't quite get there and rejected it.
NEUT18|But if it does come down to this level, I think this will be a big buying opportunity.
NEUT19|And this is last defense at 2:13.
NEUT20|If you renew.
NEUT21|Whenever I say last defense, that just means if it breaks this level, I turn short term bearish, OK.
NEUT22|But say we really have to wait till next week to see what the stock does.
NEUT23|If it goes above here, I'm buying shares to hold, and if it comes here, I'm buying shares to hold.
NEUT24|If it's just between here, I won't be playing it.
NEUT25|I'll be waiting unless I see something fit to play in.
NEUT26|OK, I do like high percentage place I like waiting for high percentage plays.
NEUT27|I'm not in no rush so I like the place to come to me as well.
NEUT28|OK so make sure you have these two levels and this resistance level 'cause this will tell us how bullish stock will be if it just runs through there.
NEUT29|OK, so this is the update for TX RC stock.
NEUT30|Hope you guys like the video NASA recommendation bar, so anything just for educational purposes only.
NEUT31|"Do not try anything you see his videos and I'll catch you guys and then next one."""
