NEUT0|"""Hello Traders and welcome to another intraday technical analysis session."
NEUT1|Our second instrument for the day is the Apple stock.
NEUT2|Apple announced its long awaited iPhone X yesterday.
BEAR3|As we can see on the charts, the investors were not as impressed.
BEAR4|We saw rapid downward movement from $163 to 158.
BULL5|But the stock is still trading in a strong uptrend.
NEUT6|Today's session will be a very interested one or the hype will be discounted in the charts and we can well see retracements up to the $153 price mark if price retraces to this level.
BULL7|It is a strong technical level and we might observe a bounce all the way up to the up trend trend line.
NEUT8|We can also see.
BULL9|High highs up to 165 or even $170 per unit.
BULL10|"Thank you for watching our intraday technical analysis from all of us here at AAA trade where we should successful in responsible trading."""
