NEUT0|"""What's going on?"
NEUT1|YouTube fam.
NEUT2|This is the wealth investing network.
NEUT3|We do this for the win.
NEUT4|We're not doing a normal intro today, just please like subscribe if you renew.
BULL5|It really helps.
NEUT6|The channel grow.
NEUT7|Helps you to buy all those things.
NEUT8|But today I just want to quickly address that.
NEUT9|I put up my first pole on the channel because I need help.
NEUT10|I don't know what kind of stock analysis to do next.
NEUT11|I've got a lot of ideas and you all tell me different ideas in the comments and I really appreciate that.
NEUT12|Please continue to do that, but when I do a poll, it really helps me get a gauge of what the majority of you all out there want.
NEUT13|Recently a subscriber asked me to review Cody, Coty, definitely, Coty, Cody.
NEUT14|There anyway, I thought it's intriguing because in the past five years they haven't been doing so well and I'm a long term investor but short term I could try to make the case for it.
BULL15|But then I looked at Estee Lauder up over 200% in the past five years, and then I actually got intrigued.
NEUT16|I started looking at Ulta Beauty and I'm planning a video that I think is interesting, but I don't know if you all think it's interesting.
NEUT17|So then when I put up this poll right off the bat, I got a lot of responses for Tesla and beam Global, and I've talked about being global on the general a lot before and Tesla little bit, so that makes sense to me.
BULL18|In fact, Bing was up over 16% today, so then I kind of got excited to do an update on that.
NEUT19|I might do all of these different videos as you can see I don't own any shares of Cody or Estee Lauder Ulta Beauty.
NEUT20|But I do own shares of being global and I really do keep track of what's going on with them.
NEUT21|Also, recently did a video about Chargepoint and they're a big today.
BULL22|Partially, I think because of the Biden infrastructure plan being announced just on first look in the Biden plan, there's not that much we didn't already expect or know that these stocks might get a boost.
NEUT23|But hey, the market kind of reacts on fear and greed based on whatever is in the news.
NEUT24|So I get it.
BULL25|You see, test is up over 5% today, but eventually I'll get to talk about Beam Global.
NEUT26|I hope you've been paying attention.
BULL27|They just reported earnings, great revenue numbers they missed on earnings specifically, but their revenue numbers were so impressive that I can't wait to talk about it and give you that update.
NEUT28|But Speaking of updates, actually bought a stock today, I bought Sumo logic.
NEUT29|We did a video about that recently and I've been tracking this stock for a long time.
NEUT30|Actually, I started with this stock because of the subscriber commented about it.
BULL31|I really do read every comment and I definitely see 2X potential with this one.
NEUT32|But I want to get into more of a deep dive and maybe compare it to Palantir.
NEUT33|I thought that could be interesting and so I put up this poll and right now we're about tide.
NEUT34|The only combination is not doing well as Zillow versus Redfin, so I'm definitely not doing that right now unless all of a sudden it miraculously pulls into the lead.
NEUT35|But right now it's neck and neck between these three different types of analysis, and so I just went ahead and make graphics for all of these.
BULL36|So yeah, I hope you guys enjoyed the slightly different format today.
BULL37|Maybe this video will do well, maybe it won't.
NEUT38|I think it's kind of fun if you follow my channel and you've seen some other videos.
NEUT39|Please try to get them to 100 likes.
NEUT40|That's been my goal recently.
BULL41|If I can get this video or other videos to 100 likes, I'll be happy and maybe I can do something special for you guys.
NEUT42|Let me know in the comments which you might want that to be.
NEUT43|So check out my channel page where you can find this poll.
NEUT44|Also try to put it in the description along with other things like my other videos.
BULL45|Again, I really appreciate you all supporting the channel and for bearing with me on this rant.
BULL46|Thank you so so much for watching.
NEUT47|I'm going to keep following these results.
NEUT48|"See in the next video."""
