NEUT0|"""APOP select biotechnology."
BULL1|APOP shows up 109% now in the Pre Market Company last night announced a merger agreement with Quan Pharmaceuticals.
NEUT2|That's APOP.
BULL3|ENOB an animal jam Biosciences shares up about 58% now in the pre Market Company.
BULL4|And Seraph Research Institute announced a case report of complete remission of recurrent glioblastoma with innovative therapy.
NEUT5|That in a press release.
BEAR6|Last night, that second NOB now at $5.55 EA Noba.
NEUT7|INZY in a design.
BULL8|Pharma announcing their full year results, says Cash Cash equivalents and investments expected to enable continued operations in the second half of 2022.
NEUT9|That's in the other Member ZY.
NEUT10|KBR KBR sets new long-term financial targets.
NEUT11|Hosting a virtual Investor Day that's KBR, KBR.
BULL12|GNP K GNPK red wire innovative space infrastructure company serving fast growing space industry to become publicly traded through merger with Genesis Park acquisition.
NEUT13|That's golf NPK.
BULL14|ENPK JG, Julia golfer or mobile partners with China's online after school education leader Zoya Bang to promote quality growth of its online education app.
NEUT15|That's JG Juliet Golf Aurora mobile JG.
NEUT16|Bo Xbox names Former Blue Google Cloud executive as president of Box MA EMEA.
NEUT17|That's BOX.
NEUT18|PFG, PHG Phillips.
NEUT19|To sell its domestic appliance business to global investment firm Hill House Capital with Enterprise value of about $3.7 billion.
NEUT20|Phillips to receive about 3 billion three billion €3.7 billion.
NEUT21|Phillips expects to receive about €3 billion.
NEUT22|From the transaction, that's PHG PFG.
NEUT23|AC HV.
NEUT24|ACH Victor achieve.
NEUT25|And now it's publication Avrora, head-to-head Noninferiority clinical trial comparing center cycling, an Chantix in addiction.
NEUT26|That's a HCV.
NEUT27|That was a little bit earlier.
NEUT28|WLC WILC G Willie.
BULL29|Reporting record high year with sales sales increased by 14.8% versus FY20 19.
NEUT30|That's WILC.
NEUT31|WTR WTER alkaline water.
NEUT32|Selling shareholders may offer and sell up to 9.5 million shares.
NEUT33|And up to 9.5 million shares that may be issued upon exercise of warrants.
NEUT34|That's WTR WTER.
BULL35|CTSH cognizant to expand expertise in autonomous, connected and electric vehicles with acquisition of ESG Mobility.
NEUT36|Financial details were not disclosed that CT Sandy Hotel CTSH.
NEUT37|GM PK Genesis Park acquisition at $10.40.
NEUT38|Fifty 753 cents now.
NEUT39|On that merger announcement, that's golf NPK GMK.
NEUT40|Benzinga market update.
BULL41|S&P futures up 9.75.
BULL42|The Dow Futures up 79.
BULL43|NASDAQ up 47.50.
BEAR44|Crude is down $1.18 at $60.00.
BEAR45|Gold down $2.40 at 1730.
BEAR46|Eighty Bitcoin futures down 1875 at 52,770.
BEAR47|SYBX in logic reporting a loss of $0.39.
BULL48|That's better than the 41 cent loss that was expected.
NEUT49|Sandy YBX SYBX.
NEUT50|EPW Delta PW DPW.
NEUT51|Vocal about Holdings coulisses para lectroniques we see is 10 and a half $1,000,000 order for residential electric vehicle Chargers.
NEUT52|That's DPW Delta proper whiskey.
NEUT53|UAL United Airlines.
BULL54|United Airlines adding 26 new routes between Midwest cities and destinations in the South and New England.
BULL55|Will resume more than 20 domestic routes in May.
BULL56|Will fly more than 100% of pre pandemic schedule to Latin America, Mexico and the Caribbean.
NEUT57|That's UAL United Airlines.
BULL58|UAL Angie Aline Electric secures its largest truck order to date, with 100 zero emission trucks from Pride Group enterprises.
NEUT59|That's.
NEUT60|NGA NGA.
BEAR61|Shares of BP W Delta Papa Whiskey $3.68 at the high now at three 3639 cents for Delta PW.
BULL62|NGA so I've been Genesis popping to $18.80 on their press release.
NEUT63|On that order announcement elect.
NEUT64|Truck orders $18.00.
BULL65|$0.80 That's up $1.51 for NGA NGA.
NEUT66|US quantum scape Quebec.
NEUT67|Sandy company out with a filing.
NEUT68|I've for 11.96 million shares to be priced at $40 per share.
NEUT69|That's a amendment to their S1.
NEUT70|Registration that's Key West quantum scape.
NEUT71|10.4 million shares.
NEUT72|Just checking to confirm that.
NEUT73|It's.
NEUT74|Shoot CSCWMOV, Movado reporting $1.29 Michael Oscar Victor APTOCSCW.
NEUT75|The estimate wise.
NEUT76|$0.45 for iMovie Movado sales of 178.3 million.
BULL77|Is above the 164 million estimate for Michael Oscar Victor?
BULL78|Movado Board approving a near new share repurchase program FECFUTUMOVUQ.
NEUT79|HW, CC.
NEUT80|CTRM Houston wiring cable to be acquired by on the cable in $91 million.
NEUT81|Transaction $5.30 per share in cash.
BEAR82|Shares at $5.13 now close to 380 again.
NEUT83|Houston wire and cable to be acquired for $5.30 per share in cash total of $91 million.
NEUT84|That's HW CC.
NEUT85|DPW DPW PD.
NEUT86|News SLR busy AMD PLTRNAKDTLRYG me AMC.
BEAR87|DTH GTH, GTH Genetron reporting a loss of $0.02.
BULL88|On revenue up 30 point 1%.
BEAR89|The estimate was a loss of $0.11, so that's a smaller loss than expected for DPH plug BNGOAEHL.
NEUT90|Oxy Evan Evg and Billy Evan Evg and Evan.
NEUT91|AMD open CL NIEHLRY que que que Le AAL all yeah, GI GV WKU TSM TQQQ RLX.
NEUT92|NAKCIDMMKTTUVNTCWN ndak dicen que que GM WIMIHOFV Mara momo AMD AAL.
