NEUT0|"""Neo stock analysis and predictions, January 22nd."
NEUT1|In today's NEO stock analysis and predictions why NIO stock is up today.
NEUT2|Alright, let's get started.
BULL3|Shares of Chinese electric vehicle maker Nio NYSE NIO were trading higher on Friday after a Wall Street analyst initiated coverage of the company with a bullish note.
NEUT4|As of 11:00 AM Eastern Standard Time.
BULL5|Nio's American depositary shares were up about 5.9% from Thursday's closing price.
NEUT6|In a note Friday morning.
NEUT7|Nomura analyst Martin Hung initiated coverage of NIO with a rating of bianna price target of $80.30.
BULL8|Hung wrote that he likes an IO for its Tesla like top down approach to product Cadence Anio.
NEUT9|Like Tesla NASDAQ, TSX started with a premium product, the S 8 three row luxury SUV V, followed by more consumer friendly models.
NEUT10|The five passenger E S6 in EC 6 crossovers.
NEUT11|The idea is that the profits from the more expensive models will help fund the development of more affordable models over time.
BULL12|Whom also notes that Chinese consumers are willing to pay prices comparable to those of similar European luxury car models for Nio's, which he feels shows that NIO has successfully established itself as a credible, upscale auto brand.
BULL13|The analyst also regards an iOS batteries as a service program as a revolutionary concept that lowers upfront costs, creates a revenue stream for any overtime, and provides a competitive advantage versus traditional recharging.
NEUT14|Auto investors should note that.
NEUT15|Hung said that his price target of $80.30 is based on a 25% discount on Tesla's current price to sales ratio of 26.
NEUT16|Not on a bottom up fundamental analysis of nio's likely future cash flows.
BULL17|In other words, he believes Nio's stock price will continue to rise because Tesla's has risen.
NEUT18|That's what's been happening this week in the world of NEO stock analysis and predictions.
NEUT19|If you haven't subscribed yet, make sure you click the subscribe button at the bottom right and subscribe to financial health right now so that next week you'll get the inside scoop on the latest developments to keep you in your business on the leading edge of NIO stocks and predictions.
NEUT20|If you enjoyed this edition of NEO stock analysis and predictions.
NEUT21|Leave a comment and please hit the like or share button.
BULL22|We'd really appreciate it.
NEUT23|Are you still watching and want more?
NEUT24|"Check out last week's NEO stock analysis and predictions by checking out our Neo playlist."""
