BULL0|"""Hello everybody, welcome back to case studies with engineering rubble."
NEUT1|Today we're going to be talking about PBF Energy and we're going to be starting from June 2019 to June 2020.
NEUT2|So let's go and see what happened and what's happening in this market.
NEUT3|So as you guys can see, starting from June 2019, the market is kind of like.
NEUT4|Up and down, up and down.
NEUT5|So we're going to be talking about these buy and sell signals today.
NEUT6|So on June 2019 there's a buy two and super buy signals given by Engineering Robo at the same time, one month later, on July 2019, since the market is going not so well, there's a cell to signal.
BULL7|And three months later, on October 2019, since the market is recovering, there's a Buy 2 signal from engineering robot.
BEAR8|So like I said, the market is up, down, up and down.
NEUT9|Over here on January 2020 there's a super cell and cell, two signals given by engineering Robo at the same time.
BEAR10|So after this 2 cell signals, as you guys can see, the market is just down only since it's not going so well.
BEAR11|And it drops 84% just in three months.
NEUT12|So let's say that you wanted to buy from here, here, here, or you want to listen engineering robots by signal you wanted to buy from here from $1000.
NEUT13|Three months later, on January 2020, when you come back on.
NEUT14|The Super sale on Sale 2 signals.
NEUT15|Let's say that he decided to not listen engineering Roble, you decided to not sell it in here.
BEAR16|That means you lost 84% of your money, so you lost almost all of your.
NEUT17|Money.
NEUT18|In here.
NEUT19|After this town market, there's a one more bite to signal.
NEUT20|I think the market is getting better on June 2020 we will see what's going to happen after that.
NEUT21|So in this market I wanted to show you guys.
NEUT22|Sorry, I wanted to show you guys there is by signals cell signals by signal.
NEUT23|So if the market is going OK in June, who is giving you to buy signals?
NEUT24|But if it's not going so well, it's giving you the cell signaling cell signals it's telling you please sell it.
BEAR25|Otherwise you're going to be losing your money.
NEUT26|It's giving you to buy signals because it's it's.
BULL27|It's showing you guys that this is a good time to buy it.
NEUT28|If you wanted to buy it, you can buy it over here or you can buy anywhere you want.
NEUT29|But when it comes to sell signals engineering always.
BEAR30|Telling you guys you are going to be losing your money, please sell it over here because the market is not going so well.
NEUT31|This is why I have been highly recommending recommending you guys to listen engineering robot cell signals to keep your money in your pockets.
BULL32|Thank you so much.
BULL33|Alright sorry thank you so much for watching.
NEUT34|Make sure you subscribe.
NEUT35|Make sure to follow us on Facebook and Instagram.
NEUT36|"See you."""
