NEUT0|"""Hi, I'm Rob and today I'd like to introduce you to the stock of the week like every Sunday."
NEUT1|Be sure to watch this video until the end as I'm going to tell you how you can win something worth $720.
NEUT2|But before that, let me show you how I was able to make a 43% return with Facebook.
NEUT3|I bought Facebook when it broke the resistance line and the stock went straight back to its fair value.
BULL4|On Facebook I got a 43% return in only four months.
NEUT5|Now let's get to the stock of the week.
NEUT6|This week I picked Biogen Inc for you.
NEUT7|As you can see, Biogen is a biotechnology company from the United States with an average growth rate of 23%.
BULL8|The risk analysis shows us that Biogen is a solidly growing company.
BULL9|Once Biogen breaks the resistance line, you can expect to double your investment.
NEUT10|OK, now we come to the mentioned competition.
NEUT11|I am currently planning another series of videos for which you can write me in the comments below, which stocks I should analyze for you?
NEUT12|One of the comments will win one year of top grafts.
NEUT13|Premium membership worth $720.
NEUT14|If you liked our stock analysis, please leave us a like and subscribe to our channel so you don't miss any of our stock analysis in the future.
NEUT15|"And if you want to do your own stock analysis, try our software for free at topgraphs.com."""
