NEUT0|"""Hello and welcome to this technical Alice video here."
NEUT1|It's not com American Delta's investment Alice.
NEUT2|After a quick look at his dollars, are Canadian dollar even delete time frame?
NEUT3|Having a look at the chart now the price founder inbound on the one point 3310 low hitting tours, the bearish crossover with Hindi 20 and for it they estimate to the 200 day one.
BEAR4|There is Scion bounced off the oversold territory while the President Kaler of this task.
BULL5|Also, later we caught the bullish cross with the percentage Deline.
BEAR6|More advances could find immediate resistance, RDS, a maze which are currently hovering near one point 3520 and up.
BEAR7|Above these levels, the Bulls were without touching the 23.6% people of the town Lake from our point 4668, twelve point 3310.
NEUT8|At one point, 3635.
NEUT9|Above that, their prize may initial style.
BULL10|Around one point 3715 with systems or the other hand, one point 3310 may add some food into the market, but a violation at this point may should appear to the unpaid 30 to handle negative momentum could further strengthen.
BULL11|If the 1.31 around number is breached as well, with your point 2950 appearing in next in the radar overall dark at is expected to show improvement.
NEUT12|If the price overcomes you are pulled 3715 resistance in the short term time frame in the medium term.
BEAR13|Now the pair has been in a bearish picture since March 19th, so that's all from me.
NEUT14|Thank you for watching.
BULL15|"Have a great day."""
