NEUT0|"""Hello, I'm Dennis."
NEUT1|Welcome to the crypto investor channel.
NEUT2|Today we will talk about the XRP currency and Ripple.
NEUT3|We will make a price forecast and we will try to calculate if Ripple can achieve the price of $100 in 2018.
BULL4|In 2017, the price of SRP raised 40,000%.
NEUT5|That's incredible simply unbelievable.
NEUT6|Just imagine that investing $10,000 in January 2017, you can receive.
NEUT7|You could sorry, receive.
NEUT8|$4 million and 218 at January.
BULL9|That's amazing.
NEUT10|Now let's talk a little bit how the price of this cryptocurrency is formed and how can we do to earn on it.
NEUT11|In 2018 alot of cryptocurrencies are very similar to each other, so much they are really difficult to distinguish.
NEUT12|For example, Bitcoin and Bitcoin Cash, Ethereum and Ethereum classic.
NEUT13|SRP is different from other cryptocurrencies, exactly was created, especially for the banks.
NEUT14|It stands apart from other cryptocurrencies which make it's very interesting for the investors.
NEUT15|The capitalization of Ripple is in the 3rd place after Bitcoin and Ethereum, but Bitcoin costs about $10,000.
NEUT16|Ethereum costs about $1000, and Ripple cost only $1.00.
NEUT17|It's also make it makes Ripple interesting for the investors if we try to Google some news about the ripple we will find on the good news.
NEUT18|Usually they write about new banks who joined to their system.
NEUT19|It happens on almost every month.
NEUT20|Now we know enough to make a conclusion.
NEUT21|Let's make it immediately.
BULL22|Ripple have a great growth potential and it will grow when new investors come and more money will flow into the cryptocurrency.
BULL23|In general, new investors come after good news about the crypto market in general.
NEUT24|Usually it is equipment of high prices, capitalization or motivating stories about crypto, millionaires and crypto billionaires.
NEUT25|Also the news about Ripple Corporation is very important for the good price of.
BULL26|SRP on this news there is RP should grow and with the rapid growth of the cryptocurrency market, nothing prevents Ripple.
NEUT27|To achieve $100 in 2018, Please remember that SRP are purely speculative cryptocurrency.
NEUT28|If you plan to invest in SRP, I advise you to keep it really small.
NEUT29|Really small portion of your investment portfolio and do not keep it for.
NEUT30|More than one year by SRP, when it's cheap and sell it when it's expensive.
NEUT31|If you feel a little bit difficult with the moment where to buy or to sell, please follow me on our social networks.
NEUT32|I constantly publish signals when we sell or buy SRP.
BULL33|It may help you.
NEUT34|Anyway, I invite you to subscribe to our YouTube channel and visit us regularly.
BULL35|Will try to make new videos, hopefully they will help you.
NEUT36|Please write in the comment.
NEUT37|What do you think about SRP and repo?
NEUT38|Your opinion is very interesting for me and I will answer all your message.
NEUT39|And one more thing I know our English texts is not perfect at this moment.
NEUT40|If somebody wants to help us to improve it, we would give credit to this person at every video we make.
NEUT41|"Thank you very much and see you later."""
