NEUT0|"""Welcome to the Investors Trading Academy."
NEUT1|Talking Glossary, financial terms and events are word of the day.
NEUT2|Is Austrian economics a brand of neoclassical economics established in Vienna during the late 19th century and the first half of the 20th century?
NEUT3|It was strongly opposed to Marxism and more broadly to the use of economic theories to justify government intervention in the economy.
NEUT4|Prominent members included Frederick Hayek, Joseph Shim Pizza and Ludwig von Mises.
NEUT5|It gave birth to the definition of economics as the science of studying human behavior as a relationship between ends and scarce means that have alternative uses.
NEUT6|Austrian economic thinking was characterized by attributing all economic activity, including the behavior of apparently impersonal institutions, to the wishes and actions of individuals.
NEUT7|It did this by examining choices in terms of their opportunity cost.
NEUT8|That is, what is the next best use of resources to that which is being considered and by.
NEUT9|Rising the impact of timing on decision-making.
BEAR10|Hayek correctly predicted the failure of Soviet style central planning.
NEUT11|"His ideas are said to have inspired many of the free market reforms carried out during the 1980s in the United States under Ronald Reagan and in the UK under Margaret Thatcher, showing Peter developed a theory of innovation and economic change characterized by the phrase creative destruction."""
